Year,Indicator,Volume_Lakh,Value_Cr
2015-16,RTGS,983.41828,82457800.7784
2015-16,IMPS,2208.12557,162225.6022
2015-16,NEFT,12528.79607,8327310.6669
2015-16,UPI,-,-
2015-16,Credit Cards,7856.73411,240661.5144
2015-16,Debit Cards,11736.14482,158926.7506
2015-16,AePS,-,-
2015-16,Total Digital Payments,59361.15154,92038330.015249
2015-16,Total Retail Payments,69341.4322,17766608.352149
2016-17,RTGS,1078.56417,98190376.1188
2016-17,IMPS,5067.31364,411105.8608
2016-17,NEFT,16220.96136,12003967.7384
2016-17,UPI,179.73961,6960.872907059
2016-17,Credit Cards,10871.32461,328381.7596
2016-17,Debit Cards,23993.03484,329906.7497
2016-17,AePS,1.07764,50.702111643
2016-17,Total Digital Payments,96912.3713,112099725.998897
2016-17,Total Retail Payments,107900.71743,22005164.6360972
2017-18,RTGS,1244.33267,116712477.5585
2017-18,IMPS,10098.35834,892497.4755104
2017-18,NEFT,19463.57063,17222851.9722
2017-18,UPI,9152.38077,109832.3401304
2017-18,Credit Cards,14051.59681,458964.598
2017-18,Debit Cards,33433.9262,460069.9966
2017-18,AePS,6.39348,300.3491623
2017-18,Total Digital Payments,145901.59256,136978310.792861
2017-18,Total Retail Payments,156370.40533,28459326.0426613
2018-19,RTGS,1366.02975,135688186.71
2018-19,IMPS,17529.06075,1590256.8555322
2018-19,NEFT,23188.8732,22793608.09
2018-19,UPI,53915.02919,876970.7154413
2018-19,Credit Cards,17625.89623,603413.3355
2018-19,Debit Cards,44142.81088,593474.6631
2018-19,AePS,10.82114,500.9110946
2018-19,Total Digital Payments,232601.61152,163713425.355848
2018-19,Total Retail Payments,242473.18991,36271303.5868478
2019-20,RTGS,1506.61053,131156474.943443
2019-20,IMPS,25791.70315,2337540.8685195
2019-20,NEFT,27444.68034,22945579.9636886
2019-20,UPI,125186.18633,2131730.1253891
2019-20,Credit Cards,21772.84002,730893.76961052
2019-20,Debit Cards,50610.709655108,703919.619799424
2019-20,AePS,9.50204,468.9235249
2019-20,Total Digital Payments,340155.457611685,161968681.298048
2019-20,Total Retail Payments,349063.033081685,38637028.1877536
2020-21,RTGS,1591.92001,105599848.52072
2020-21,IMPS,32783.46785,2941499.5241748
2020-21,NEFT,30927.88859,25130909.5906596
2020-21,UPI,223306.64451,4103657.8249546
2020-21,Credit Cards,17641.06465,630413.652537568
2020-21,Debit Cards,40145.538330001,661384.97961619
2020-21,AePS,11.31283,622.9118921
2020-21,Total Digital Payments,437068.472808425,141458488.159669
2020-21,Total Retail Payments,442180.257625645,41485747.1914144
2021-22,RTGS,2078.3918,128657516.471322
2021-22,IMPS,46625.24508,4171037.4708114
2021-22,NEFT,40407.29053,28725462.7896964
2021-22,UPI,459561.30102,8415899.87977159
2021-22,Credit Cards,22398.82319,971637.682774261
2021-22,Debit Cards,39384.1082,730213.256502789
2021-22,AePS,9.76,574.89
2021-22,Total Digital Payments,719768.30261,174401232.918613
2021-22,Total Retail Payments,724689.03292,52394049.0127429
2022-23,RTGS,2425.6186,149946286.063985
2022-23,IMPS,56532.63693,5585441.13752225
2022-23,NEFT,52847.43182,33719541.0613028
2022-23,UPI,837143.72569,13914931.6077835
2022-23,Credit Cards,29145.24487,1432255.24031582
2022-23,Debit Cards,34179.47564,719989.267937628
2022-23,AePS,5.89998,356.3956826
2022-23,Total Digital Payments,1139381.6799297,208684872.218192
2022-23,Total Retail Payments,1144065.3413297,65911490.1842075
2023-24,RTGS,2700.16277,170886670.383032
2023-24,IMPS,60053.34978,6495652.12614997
2023-24,NEFT,72639.50411,39136014.008896
2023-24,UPI,1311294.67635,19995085.5269215
2023-24,Credit Cards,35610.15288,1831134.02787398
2023-24,Debit Cards,22859.63836,592429.2860898
2023-24,AePS,3.92499,260.5736644
2023-24,Total Digital Payments,1644301.77569111,242823798.64567
2023-24,Total Retail Payments,1648233.71391111,79149460.8486272
2024-25,RTGS,3024.5458,201387682.265076
2024-25,IMPS,56249.68,7139109.89
2024-25,NEFT,96198.0475,44461464.3341936
2024-25,UPI,1858660.25,26056954.67
2024-25,Credit Cards,47740.75976,2109196.71314488
2024-25,Debit Cards,16120.38668,495913.626535049
2024-25,AePS,3.64,189.55
2024-25,Total Digital Payments,2219814.62799988,286300103.161646
2024-25,Total Retail Payments,2222885.46219988,92025770.6365706
