FY,GDP_Cr,GDP_Growth_Pct
1950-51,496848.1227,
1951-52,511489.40937,2.946833448909003
1952-53,524919.484738,2.6256800477143294
1953-54,557203.391338,6.150258761324823
1954-55,584010.774007,4.811058777770194
1955-56,602911.131322,3.2363028485452805
1956-57,636544.29653,5.578461478104213
1957-58,633926.679749,-0.41122303589388176
1958-59,680775.591054,7.390272850410651
1959-60,698644.097615,2.624727853907838
1960-61,737043.629419,5.496293740273006
1961-62,764481.866096,3.7227425327085673
1962-63,786889.806115,2.9311277366762534
1963-64,834058.760867,5.9943532608308425
1964-65,896220.744306,7.452950122408986
1965-66,872598.425809,-2.6357701098842723
1966-67,872115.627835,-0.05532876976627188
1967-68,940367.074451,7.825963030318817
1968-69,972226.044927,3.387929175912463
1969-70,1035806.714468,6.539700296320916
1970-71,1089225.646355,5.157229736093827
1971-72,1107120.865448,1.6429303838818576
1972-73,1100995.15117,-0.5533013123658503
1973-74,1137278.679074,3.295521135169621
1974-75,1150759.255639,1.1853362604121065
1975-76,1256052.715032,9.149912014788185
1976-77,1276942.173413,1.6631036365752916
1977-78,1369581.321992,7.254764585885276
1978-79,1447819.094495,5.71253208894571
1979-80,1371979.68512,-5.238182702753546
1980-81,1464393.78811,6.735821527992747
1981-82,1552348.260878,6.0062036237887195
1982-83,1606303.745387,3.475733240328638
1983-84,1723385.505057,7.288892901248389
1984-85,1789231.547453,3.8207378559692584
1985-86,1883243.126754,5.254299223307735
1986-87,1973197.44319,4.776564170503428
1987-88,2051441.739172,3.9653556339250606
1988-89,2248950.096546,9.62778291981705
1989-90,2382702.880069,5.947343328267785
1990-91,2514548.661311,5.533454563087692
1991-92,2541123.201963,1.0568314330471118
1992-93,2680437.63929,5.482396021545921
1993-94,2807779.233241,4.7507762196896675
1994-95,2994747.120361,6.658924067337879
1995-96,3221583.996632,7.574491840354658
1996-97,3464798.197223,7.549522248846152
1997-98,3605116.316993,4.049820849089092
1998-99,3828071.700856,6.184415820706879
1999-00,4166693.566217,8.845755561090463
2000-01,4326735.897631,3.8409911569116106
2001-02,4535456.177664,4.823966263974633
2002-03,4707983.81137,3.8039753212842475
2003-04,5078049.298746,7.860381475447609
2004-05,5480380.0,7.922938072959496
2005-06,5914614.0,7.923428667355181
2006-07,6391375.0,8.060728899637404
2007-08,6881007.0,7.66082415755609
2008-09,7093403.0,3.086699374088697
2009-10,7651078.0,7.861882371550011
2010-11,8301235.0,8.497586875993157
2011-12,8736328.810891,5.24131422482319
2012-13,9213016.768599,5.456387551642328
2013-14,9801369.822177,6.386106400927227
2014-15,10527673.634424,7.410227605162212
2015-16,11369493.13596,7.9962537856737015
2016-17,12308193.223268,8.256305501773276
2017-18,13144582.0,6.795382243031822
2018-19,13992913.9362789,6.453852517173231
2019-20,14534640.7754897,3.8714369407095717
2020-21,13694869.2443488,-5.7777247068743325
2021-22,15021846.2664264,9.689592491912101
2022-23,16164913.3752284,7.609364977704081
2023-24,17650590.9482384,9.190754930284362
2024-25,18796955.4438985,6.494765523839363
2025-26,20189918.8783244,7.410580072838657
