Year,SHGs_Financed_During_Year,Bank_Loan_During_Year_Cr,Refinance_During_Year_Cr,Refinance_Cumulative_Cr
2024-25,5557367.0,208282.6691,12073,129968.32
2023-24,5482152.0,209286,10100,117895
2022-23,4295521.0,145200,6777,107796
2021-22,3398267.0,99729.225,10197.4,101019.21
2020-21,2887394.0,58071,12227,90822
2019-20,3146002.0,77659,15434,78595
2018-19,2698400.0,58318,12886,63161
2017-18,2261132.0,47186,6981,50275
2016-17,1898120.0,38781,5660,43294
2015-16,1832323.0,37287,6906,37541
2014-15,1626238.0,27582,4493,30635
2013-14,1366421.0,24017,3746,26142
2012-13,1219821.0,20585,3917,22396
2011-12,1147878.0,16535,3073,18480
2010-11,1196134.0,14548,2545,15407
2009-10,1586822.0,14453,3174,12862
2008-09,1609586.0,12254,2620,9688
2007-08,1227770.0,8849,1616,7068
2006-07,1105749.0,6570,1293,5453
2005-06,620109,4499,1067.7,4159.7
2004-05,539365,2994.26,967.8,3092
2003-04,361731,1855.53,705.4,2124.2
2002-03,255882,1022.33,622.3,1418.8
2001-02,197653,545.47,395.76,796.5
2000-01,149050,287.89,250.61,400.74
1999-00,81780,135.91,98.04,150.13
1998-99,18678,33.31,30.7,52.09
1997-98,5719,11.92,10.74,21.39
1996-97,3841,5.78,4.99,10.65
1995-96,2635,3.62,3.53,5.66
1994-95,1502,1.79,1.67,2.13
1993-94,365,0.36,0.19,0.46
1992-93,255,0.29,0.27,0.27
