State,Deposits_Cr,Credit_Cr,CD_Ratio,FY
ANDHRA PRADESH,762364.4614,1149063.0486,150.7,2022-23
TAMIL NADU,2382950.0722,2519432.7746,105.7,2022-23
TELANGANA,1343770.9728,1367865.7486,101.8,2022-23
MAHARASHTRA,7804595.0624,7707063.2666,98.8,2022-23
NCT OF DELHI,3317731.9076,2976013.9606,89.7,2022-23
RAJASTHAN,1104572.7718,904576.629,81.9,2022-23
CHANDIGARH,199836.3826,151170.601,75.6,2022-23
CHHATTISGARH,404143.7788,299645.6152,74.1,2022-23
MANIPUR,28860.2334,20954.6072,72.6,2022-23
MADHYA PRADESH,1038919.8198,749933.8376,72.2,2022-23
GUJARAT,2014120.8534,1442132.7632,71.6,2022-23
KERALA,1404253.241,909178.5068,64.7,2022-23
PUDUCHERRY,51146.011,32990.3408,64.5,2022-23
KARNATAKA,2866771.3166,1832680.082,63.9,2022-23
HARYANA,1363613.8144,793077.4086,58.2,2022-23
JAMMU & KASHMIR,312569.1536,173203.874,55.4,2022-23
PUNJAB,1095705.3248,582083.9968,53.1,2022-23
ASSAM,389847.7492,203450.08,52.2,2022-23
ANDAMAN & NICOBAR ISLANDS,14243.3388,7349.4274000000005,51.6,2022-23
NAGALAND,30888.0292,15149.4834,49.0,2022-23
WEST BENGAL,2053928.8526,970608.777,47.3,2022-23
BIHAR,874249.7752,394633.9908,45.1,2022-23
UTTAR PRADESH,2862038.2508,1285059.8774,44.9,2022-23
ODISHA,879951.624,384450.6302,43.7,2022-23
SIKKIM,27107.917,11596.4952,42.8,2022-23
TRIPURA,52110.5108,21756.1528,41.8,2022-23
MIZORAM,19423.9498,8043.8768,41.4,2022-23
LADAKH,16451.272,6609.4068,40.2,2022-23
MEGHALAYA,55384.0586,21304.8016,38.5,2022-23
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,28376.3442,10814.0546,38.1,2022-23
UTTARAKHAND,386562.866,139782.7216,36.2,2022-23
JHARKHAND,589013.439,198378.9974,33.7,2022-23
HIMACHAL PRADESH,257270.0532,84085.0338,32.7,2022-23
ARUNACHAL PRADESH,50802.2122,13825.314,27.2,2022-23
GOA,204075.5078,51131.3992,25.1,2022-23
LAKSHADWEEP,2825.018,289.6758,10.3,2022-23
ANDHRA PRADESH,866110.8054,1361754.6192,157.2,2023-24
TAMIL NADU,2647584.9354,2983819.004,112.7,2023-24
TELANGANA,1526459.0086,1658068.4282,108.6,2023-24
MAHARASHTRA,9289996.1374,9166413.4422,98.7,2023-24
NCT OF DELHI,3711218.8994,3349885.1794,90.3,2023-24
RAJASTHAN,1247350.8024,1088606.397,87.3,2023-24
CHHATTISGARH,455414.8564,354318.7612,77.8,2023-24
MADHYA PRADESH,1175154.1492,896331.113,76.3,2023-24
GUJARAT,2345529.0992,1747256.8696,74.5,2023-24
MANIPUR,30467.4404,22575.4964,74.1,2023-24
CHANDIGARH,228177.166,166014.713,72.8,2023-24
KERALA,1558387.2556,1081092.0254,69.4,2023-24
KARNATAKA,3258279.0674,2228614.4064,68.4,2023-24
PUDUCHERRY,58249.4788,39602.055,68.0,2023-24
HARYANA,1532312.6638000002,1017713.8258,66.4,2023-24
JAMMU & KASHMIR,337631.306,196559.546,58.2,2023-24
ASSAM,416045.961,241531.969,58.1,2023-24
PUNJAB,1208005.0478,698076.7686,57.8,2023-24
ANDAMAN & NICOBAR ISLANDS,15491.3596,8178.4956,52.8,2023-24
NAGALAND,33986.347,17512.82,51.5,2023-24
BIHAR,958568.5036,476296.1438,49.7,2023-24
UTTAR PRADESH,3237923.3466,1589873.3796,49.1,2023-24
WEST BENGAL,2225053.046,1093030.8664,49.1,2023-24
ODISHA,994438.9118,474760.815,47.7,2023-24
TRIPURA,56622.9792,25739.6362,45.5,2023-24
MIZORAM,20859.7292,9394.5208,45.0,2023-24
SIKKIM,29496.2264,13029.1686,44.2,2023-24
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,31309.0084,13799.229800000001,44.1,2023-24
LADAKH,17626.944,7647.6528,43.4,2023-24
MEGHALAYA,61024.7064,25748.9832,42.2,2023-24
UTTARAKHAND,429942.2524,172477.3172,40.1,2023-24
JHARKHAND,652491.1124,238264.2938,36.5,2023-24
HIMACHAL PRADESH,283601.4194,99559.5448,35.1,2023-24
ARUNACHAL PRADESH,55601.6534,16564.3474,29.8,2023-24
GOA,224042.712,59620.3788,26.6,2023-24
LAKSHADWEEP,3063.138,334.896,10.9,2023-24
ANDHRA PRADESH,953581.0244,1475300.8182,154.7,2024-25
TAMIL NADU,2879584.3454,3314500.8382,115.1,2024-25
TELANGANA,1678148.8932,1852786.7694,110.4,2024-25
MAHARASHTRA,10426137.8296,10069125.186,96.6,2024-25
NCT OF DELHI,4142026.5752,3709973.3888,89.6,2024-25
RAJASTHAN,1377332.3712,1228316.7708,89.2,2024-25
CHHATTISGARH,500607.9898,405062.3454,80.9,2024-25
GUJARAT,2496068.6788,1993704.455,79.9,2024-25
MADHYA PRADESH,1283771.8032,1010672.8208,78.7,2024-25
MANIPUR,32515.8552,25093.4078,77.2,2024-25
CHANDIGARH,253191.5108,182066.1544,71.9,2024-25
PUDUCHERRY,63279.257,44101.882,69.7,2024-25
HARYANA,1729433.0293999999,1177637.0516,68.1,2024-25
KERALA,1736055.1012,1176100.2892,67.7,2024-25
KARNATAKA,3666899.4842,2458742.691,67.1,2024-25
ASSAM,442730.4482,277472.8294,62.7,2024-25
PUNJAB,1307504.9796,758072.528,58.0,2024-25
JAMMU & KASHMIR,368438.266,208417.84159999999,56.6,2024-25
NAGALAND,37244.0334,19426.634,52.2,2024-25
ANDAMAN & NICOBAR ISLANDS,17098.1064,8829.393,51.6,2024-25
WEST BENGAL,2384494.4114,1226077.8492,51.4,2024-25
BIHAR,1041842.0934,523511.6304,50.2,2024-25
UTTAR PRADESH,3551282.7064,1779241.5348,50.1,2024-25
ODISHA,1111752.0126,529657.8514,47.6,2024-25
MIZORAM,23268.386,10505.2152,45.1,2024-25
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,33929.9834,15249.4564,44.9,2024-25
TRIPURA,64147.3022,28410.1752,44.3,2024-25
SIKKIM,32580.5962,14133.0356,43.4,2024-25
LADAKH,19675.0118,8443.7862,42.9,2024-25
UTTARAKHAND,475010.3778,195012.4366,41.1,2024-25
MEGHALAYA,67536.7218,27445.0776,40.6,2024-25
JHARKHAND,711584.003,275246.4704,38.7,2024-25
HIMACHAL PRADESH,306485.5448,114161.9942,37.2,2024-25
ARUNACHAL PRADESH,63204.077,19516.4892,30.9,2024-25
GOA,241324.7222,64487.3802,26.7,2024-25
LAKSHADWEEP,3080.4972,390.7462,12.7,2024-25
ANDHRA PRADESH,1090940.0654,1693361.175,155.2,2025-26
TAMIL NADU,3276547.3376,3933541.1238,120.1,2025-26
TELANGANA,1887276.7964,2108908.5286,111.7,2025-26
MAHARASHTRA,11718619.4002,11726281.7522,100.1,2025-26
RAJASTHAN,1515388.1,1416814.6178,93.5,2025-26
NCT OF DELHI,4478703.927,3970370.0298,88.6,2025-26
GUJARAT,2732488.5558,2317543.4853999997,84.8,2025-26
CHHATTISGARH,564188.1756,475209.9616,84.2,2025-26
MANIPUR,35903.2098,29755.7752,82.9,2025-26
CHANDIGARH,265781.2496,211456.324,79.6,2025-26
MADHYA PRADESH,1449027.927,1143015.77,78.9,2025-26
PUDUCHERRY,69868.8418,53183.381,76.1,2025-26
HARYANA,1955466.1482,1364739.377,69.8,2025-26
KERALA,1938963.1202,1337237.359,69.0,2025-26
KARNATAKA,4181074.081,2778175.592,66.4,2025-26
ASSAM,468677.9078,306907.4058,65.5,2025-26
PUNJAB,1446637.1274,855992.8328,59.2,2025-26
JAMMU & KASHMIR,406628.7728,231351.3796,56.9,2025-26
NAGALAND,38934.3248,21833.993,56.1,2025-26
WEST BENGAL,2573357.3814,1412569.9954,54.9,2025-26
ANDAMAN & NICOBAR ISLANDS,19120.9108,10260.877,53.7,2025-26
UTTAR PRADESH,3960146.8476,2028178.8226,51.2,2025-26
BIHAR,1143274.352,583335.4166,51.0,2025-26
ODISHA,1225806.8774,593757.0776,48.4,2025-26
TRIPURA,67873.7782,31448.6946,46.3,2025-26
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,36255.5734,16400.190199999997,45.2,2025-26
LADAKH,21773.883800000003,9531.396,43.8,2025-26
SIKKIM,35419.9426,15407.794,43.5,2025-26
MIZORAM,27188.5326,11776.742,43.3,2025-26
UTTARAKHAND,518623.4894,223671.89860000001,43.1,2025-26
MEGHALAYA,69576.7234,29627.9506,42.6,2025-26
JHARKHAND,779704.8886,318007.3688,40.8,2025-26
HIMACHAL PRADESH,333682.3756,129623.3192,38.8,2025-26
ARUNACHAL PRADESH,69099.5172,22898.4716,33.1,2025-26
GOA,257723.0434,71964.306,27.9,2025-26
LAKSHADWEEP,3775.4052,471.4678,12.5,2025-26
