FY,Gross_NPA_Pct,Net_NPA_Pct,CASA_Ratio_Pct,UPI_Volume_Lakh,UPI_Value_Cr,Total_Outstanding_Cr
2015-16,7.5,4.4,,,,1104363.0
2016-17,9.3,5.3,,179.73961,6960.872907059,1048223.0
2017-18,11.2,6.0,,9152.38077,109832.3401304,1279781.0
2018-19,9.1,3.7,,53915.02919,876970.7154413,1371365.0
2019-20,8.2,2.8,,125186.18633,2131730.1253891,1408960.5
2020-21,7.3,2.4,,223306.64451,4103657.8249546,2277427.933
2021-22,5.832465,1.674193,,459561.30102,8415899.87977159,2511894.793
2022-23,3.873142,0.945013,,837143.72569,13914931.6077835,2888118.54
2023-24,2.746185,0.622624,11.79916624264679,1311294.67635,19995085.5269215,3345166.821
2024-25,,,11.871930659687113,1858660.25,26056954.67,3576484.62
